Symbol,Security,GICS Sector,GICS Sub-Industry,CIK,wiki_ticker,new_ticker
AIV,Apartment Investment & Management,,,,AIV,AIV
AIZ,Assurant,Financials,Multi-line Insurance,1267238.0,AIZ,AIZ
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190.0,AJG,AJG
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,1086222.0,AKAM,AKAM
AKS,AK Steel,,,,AKS,AKS
ALB,Albemarle Corporation,Materials,Specialty Chemicals,915913.0,ALB,ALB
ALGN,Align Technology,Health Care,Health Care Supplies,1097149.0,ALGN,ALGN
ALK,Alaska Air Group,Industrials,Airlines,766421.0,ALK,ALK
ALL,Allstate,Financials,Property & Casualty Insurance,899051.0,ALL,ALL
ALLE,Allegion,Industrials,Building Products,1579241.0,ALLE,ALLE
ALTR,Altera,,,,ALTR,ALTR
ALXN,Alexion Pharmaceuticals,,,,ALXN,ALXN
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,6951.0,AMAT,AMAT
AMCR,Amcor,Materials,Paper Packaging,1748790.0,AMCR,AMCR
AMD,AMD,Information Technology,Semiconductors,2488.0,AMD,AMD
AME,Ametek,Industrials,Electrical Components & Equipment,1037868.0,AME,AME
AMG,Affiliated Managers Group,,,,AMG,AMG
AMGN,Amgen,Health Care,Biotechnology,318154.0,AMGN,AMGN
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027.0,AMP,AMP
AMT,American Tower,Real Estate,Specialized REITs,1053507.0,AMT,AMT
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,1018724.0,AMZN,AMZN
AN,AutoNation,,,,AN,AN
ANDV,Andeavor,,,,ANDV,ANDV
ANET,Arista Networks,Information Technology,Communications Equipment,1596532.0,ANET,ANET
ANF,Abercrombie & Fitch,,,,ANF,ANF
ANR,Alpha Natural Resources,,,,ANR,ANR
ANSS,Ansys,Information Technology,Application Software,1013462.0,ANSS,ANSS
AON,Aon,Financials,Insurance Brokers,315293.0,AON,AON
AOS,A. O. Smith,Industrials,Building Products,91142.0,AOS,AOS
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1841666.0,APA,APA
APC,Anadarko Petroleum,,,,APC,APC
APD,Air Products and Chemicals,Materials,Industrial Gases,2969.0,APD,APD
APH,Amphenol,Information Technology,Electronic Components,820313.0,APH,APH
APOL,Apollo Education Group,,,,APOL,APOL
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,1521332.0,APTV,APTV
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443.0,ARE,ARE
ARG,Airgas,,,,ARG,ARG
ARNC,Arconic Inc,,,,ARNC,ARNC
ATI,Allegheny Technologies,,,,ATI,ATI
ATO,Atmos Energy,Utilities,Gas Utilities,731802.0,ATO,ATO
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,718877.0,ATVI,ATVI
AV,Avaya,,,,AV,AV
AVB,AvalonBay Communities,Real Estate,Residential REITs,915912.0,AVB,AVB
AVGO,Broadcom Inc.,Information Technology,Semiconductors,1730168.0,AVGO,AVGO
AVP,Avon Products,,,,AVP,AVP
AVY,Avery Dennison,Materials,Paper Packaging,8818.0,AVY,AVY
AWK,American Water Works,Utilities,Water Utilities,1410636.0,AWK,AWK
AXP,American Express,Financials,Consumer Finance,4962.0,AXP,AXP
AYE,Allegheny Energy,,,,AYE,AYE
AYI,Acuity Brands,,,,AYI,AYI
AZO,AutoZone,Consumer Discretionary,Specialty Stores,866787.0,AZO,AZO
BA,Boeing,Industrials,Aerospace & Defense,12927.0,BA,BA
BAC,Bank of America,Financials,Diversified Banks,70858.0,BAC,BAC
BALL,Ball Corporation,Materials,Metal & Glass Containers,9389.0,BALL,BALL
BAX,Baxter International,Health Care,Health Care Equipment,10456.0,BAX,BAX
BBBY,Bed Bath & Beyond,,,,BBBY,BBBY
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,701985.0,BBWI,BBWI
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,764478.0,BBY,BBY
BC,Brunswick,,,,BC,BC
BCR,CR Bard,,,,BCR,BCR
BDX,Becton Dickinson,Health Care,Health Care Equipment,10795.0,BDX,BDX
BEAM,Beam Inc,,,,BEAM,BEAM
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,38777.0,BEN,BEN
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,14693.0,BF.B,BF.B
BHF,Brighthouse Financial,,,,BHF,BHF
BIG,Big Lots,,,,BIG,BIG
BIIB,Biogen,Health Care,Biotechnology,875045.0,BIIB,BIIB
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,12208.0,BIO,BIO
BJS,BJ Services,,,,BJS,BJS
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1390777.0,BK,BK
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,1075531.0,BKNG,BKNG
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,1701605.0,BKR,BKR
BLK,BlackRock,Financials,Asset Management & Custody Banks,1364742.0,BLK,BLK
BMC,BMC Software,,,,BMC,BMC
BMS,Bemis,,,,BMS,BMS
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,14272.0,BMY,BMY
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,1383312.0,BR,BR
BRCM,Broadcom Corporation,,,,BRCM,AVGO
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1067983.0,BRK.B,BRK.B
BRO,Brown & Brown,Financials,Insurance Brokers,79282.0,BRO,BRO
BS,Bethlehem Steel,,,,BS,BS
BSX,Boston Scientific,Health Care,Health Care Equipment,885725.0,BSX,BSX
BTU,Peabody Energy,,,,BTU,BTU
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,908255.0,BWA,BWA
BXLT,Baxalta,,,,BXLT,BXLT
BXP,Boston Properties,Real Estate,Office REITs,1037540.0,BXP,BXP
C,Citigroup,Financials,Diversified Banks,831001.0,C,C
CA,CA Technologies,,,,CA,CA
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,23217.0,CAG,CAG
CAH,Cardinal Health,Health Care,Health Care Distributors,721371.0,CAH,CAH
CAM,Cameron International,,,,CAM,CAM
CARR,Carrier Global,Industrials,Building Products,1783180.0,CARR,CARR
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,18230.0,CAT,CAT
CB,Chubb Limited,Financials,Property & Casualty Insurance,896159.0,CB,CB
CBE,Cooper Industries,,,,CBE,CBE
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1374310.0,CBOE,CBOE
CBRE,CBRE Group,Real Estate,Real Estate Services,1138118.0,CBRE,CBRE
CCE,Coca-Cola Enterprises,,,,CCE,CCE
CCI,Crown Castle,Real Estate,Specialized REITs,1051470.0,CCI,CCI
CCK,Crown Holdings,,,,CCK,CCK
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097.0,CCL,CCL
CDAY,Ceridian,Information Technology,Application Software,1725057.0,CDAY,CDAY
CDNS,Cadence Design Systems,Information Technology,Application Software,813672.0,CDNS,CDNS
CDW,CDW,Information Technology,Technology Distributors,1402057.0,CDW,CDW
CE,Celanese,Materials,Specialty Chemicals,1306830.0,CE,CE
CEG,Constellation Energy,Utilities,Multi-Utilities,1868275.0,CEG,CEG
CELG,Celgene,,,,CELG,CELG
CEPH,Cephalon,,,,CEPH,CEPH
CERN,Cerner,,,,CERN,CERN
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1324404.0,CF,CF
CFC,Countrywide Financial Corp,,,,CFC,CFC
CFG,Citizens Financial Group,Financials,Regional Banks,759944.0,CFG,CFG
CFN,Carefusion,,,,CFN,CFN
CHD,Church & Dwight,Consumer Staples,Household Products,313927.0,CHD,CHD
CHK,Chesapeake Energy,,,,CHK,CHK
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1043277.0,CHRW,CHRW
CHTR,Charter Communications,Communication Services,Cable & Satellite,1091667.0,CHTR,CHTR
CI,Cigna,Health Care,Managed Health Care,1739940.0,CI,CI
CIEN,Ciena,,,,CIEN,CIEN
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,20286.0,CINF,CINF
CL,Colgate-Palmolive,Consumer Staples,Household Products,21665.0,CL,CL
CLF,Cliffs Natural Resources,,,,CLF,CLF
CLX,Clorox,Consumer Staples,Household Products,21076.0,CLX,CLX
CMA,Comerica,Financials,Diversified Banks,28412.0,CMA,CMA
CMCSA,Comcast,Communication Services,Cable & Satellite,1166691.0,CMCSA,CMCSA
CMCSK,Comcast Class K Special,,,,CMCSK,CMCSA
CME,CME Group,Financials,Financial Exchanges & Data,1156375.0,CME,CME
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1058090.0,CMG,CMG
CMI,Cummins,Industrials,Industrial Machinery,26172.0,CMI,CMI
CMS,CMS Energy,Utilities,Multi-Utilities,811156.0,CMS,CMS
CNC,Centene Corporation,Health Care,Managed Health Care,1071739.0,CNC,CNC
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1130310.0,CNP,CNP
CNX,Consol Energy,,,,CNX,CNX
COF,Capital One,Financials,Consumer Finance,927628.0,COF,COF
COL,Rockwell Collins,,,,COL,COL
COO,CooperCompanies,Health Care,Health Care Supplies,711404.0,COO,COO
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1163165.0,COP,COP
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,909832.0,COST,COST
COTY,Coty Inc,,,,COTY,COTY
COV,Covidien,,,,COV,COV
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,16732.0,CPB,CPB
CPGX,Columbia Pipeline Group,,,,CPGX,CPGX
CPRI,Capri Holdings,,,,CPRI,CPRI
CPRT,Copart,Industrials,Diversified Support Services,900075.0,CPRT,CPRT
CPT,Camden Property Trust,Real Estate,Residential REITs,906345.0,CPT,CPT
CPWR,Compuware,,,,CPWR,CPWR
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1100682.0,CRL,CRL
CRM,Salesforce,Information Technology,Application Software,1108524.0,CRM,CRM
CSC,Computer Sciences Corporation,,,,CSC,CSC
CSCO,Cisco,Information Technology,Communications Equipment,858877.0,CSCO,CSCO
CSGP,CoStar Group,Industrials,Research & Consulting Services,1057352.0,CSGP,CSGP
CSRA,CSRA,,,,CSRA,CSRA
CSX,CSX,Industrials,Railroads,277948.0,CSX,CSX
CTAS,Cintas,Industrials,Diversified Support Services,723254.0,CTAS,CTAS
CTLT,Catalent,Health Care,Pharmaceuticals,1596783.0,CTLT,CTLT
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,858470.0,CTRA,CTRA
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1058290.0,CTSH,CTSH
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,1755672.0,CTVA,CTVA
CTX,Centex Corp.,,,,CTX,CTX
CTXS,Citrix Systems,,,,CTXS,CTXS
CVC,Cablevision,,,,CVC,CVC
CVG,Convergys,,,,CVG,CVG
CVH,Coventry Health Care,,,,CVH,CVH
CVS,CVS Health,Health Care,Health Care Services,64803.0,CVS,CVS
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,93410.0,CVX,CVX
CXO,Concho Resources,,,,CXO,CXO
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,1590895.0,CZR,CZR
D,Dominion Energy,Utilities,Electric Utilities,715957.0,D,D
DAL,Delta Air Lines,Industrials,Airlines,27904.0,DAL,DAL
DD,DuPont,Materials,Specialty Chemicals,1666700.0,DD,DD
DE,John Deere,Industrials,Agricultural & Farm Machinery,315189.0,DE,DE
DELL,Dell,,,,DELL,DELL
DF,Dean Foods,,,,DF,DF
DFS,Discover Financial,Financials,Consumer Finance,1393612.0,DFS,DFS
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,29534.0,DG,DG
DGX,Quest Diagnostics,Health Care,Health Care Services,1022079.0,DGX,DGX
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,882184.0,DHI,DHI
DHR,Danaher Corporation,Health Care,Health Care Equipment,313616.0,DHR,DHR
DIS,Disney,Communication Services,Movies & Entertainment,1744489.0,DIS,DIS
DISH,Dish Network,Communication Services,Cable & Satellite,1001082.0,DISH,DISH
DJ,Dow Jones,,,,DJ,DJ
DLR,Digital Realty,Real Estate,Specialized REITs,1297996.0,DLR,DLR
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,935703.0,DLTR,DLTR
DNB,Dun & Bradstreet,,,,DNB,DNB
DNR,Denbury Resources,,,,DNR,DEN
DO,Diamond Offshore Drilling,,,,DO,DO
DOV,Dover Corporation,Industrials,Industrial Machinery,29905.0,DOV,DOV
DOW,Dow Inc.,Materials,Commodity Chemicals,1751788.0,DOW,DOW
DPS,Dr Pepper Snapple Group,,,,DPS,KDP
DPZ,Domino's,Consumer Discretionary,Restaurants,1286681.0,DPZ,DPZ
DRE,Duke Realty Corp,,,,DRE,DRE
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,940944.0,DRI,DRI
DTE,DTE Energy,Utilities,Multi-Utilities,936340.0,DTE,DTE
DTV,DirecTV,,,,DTV,DTV
DUK,Duke Energy,Utilities,Electric Utilities,1326160.0,DUK,DUK
DV,DeVry,,,,DV,DV
DVA,DaVita Inc.,Health Care,Health Care Facilities,927066.0,DVA,DVA
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1090012.0,DVN,DVN
DWDP,DuPont,,,,DWDP,DD
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,1688568.0,DXC,DXC
DXCM,Dexcom,Health Care,Health Care Equipment,1093557.0,DXCM,DXCM
DYN,Dynegy,,,,DYN,DYN
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,712515.0,EA,EA
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,1065088.0,EBAY,EBAY
ECL,Ecolab,Materials,Specialty Chemicals,31462.0,ECL,ECL
ED,Consolidated Edison,Utilities,Electric Utilities,1047862.0,ED,ED
EFX,Equifax,Industrials,Research & Consulting Services,33185.0,EFX,EFX
EIX,Edison International,Utilities,Electric Utilities,827052.0,EIX,EIX
EK,Eastman Kodak,,,,EK,KODK
EL,The Estée Lauder Companies,Consumer Staples,Personal Products,1001250.0,EL,EL
ELV,Elevance Health,Health Care,Managed Health Care,1156039.0,ELV,ELV
EMC,EMC Corporation,,,,EMC,EMC
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,915389.0,EMN,EMN
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,32604.0,EMR,EMR
ENDP,Endo International,,,,ENDP,ENDPQ
ENPH,Enphase,Information Technology,Electronic Components,1463101.0,ENPH,ENPH
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,821189.0,EOG,EOG
EP,El Paso Corporation,,,,EP,EP
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,1352010.0,EPAM,EPAM
EQIX,Equinix,Real Estate,Specialized REITs,1101239.0,EQIX,EQIX
EQR,Equity Residential,Real Estate,Residential REITs,906107.0,EQR,EQR
EQT,EQT,Energy,Oil & Gas Exploration & Production,33213.0,EQT,EQT
ES,Eversource,Utilities,Multi-Utilities,72741.0,ES,ES
ESRX,Express Scripts,,,,ESRX,ESRX
ESS,Essex Property Trust,Real Estate,Residential REITs,920522.0,ESS,ESS
ESV,Ensco,,,,ESV,VALPQ
ETFC,E-Trade,,,,ETFC,ETFC
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1551182.0,ETN,ETN
ETR,Entergy,Utilities,Electric Utilities,65984.0,ETR,ETR
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1370637.0,ETSY,ETSY
EVHC,Envision Healthcare,,,,EVHC,EVHC
EVRG,Evergy,Utilities,Electric Utilities,1711269.0,EVRG,EVRG
EW,Edwards Lifesciences,Health Care,Health Care Equipment,1099800.0,EW,EW
EXC,Exelon,Utilities,Multi-Utilities,1109357.0,EXC,EXC
EXPD,Expeditors International,Industrials,Air Freight & Logistics,746515.0,EXPD,EXPD
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,1324424.0,EXPE,EXPE
EXR,Extra Space Storage,Real Estate,Specialized REITs,1289490.0,EXR,EXR
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,37996.0,F,F
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,1539838.0,FANG,FANG
FAST,Fastenal,Industrials,Building Products,815556.0,FAST,FAST
FBHS,Fortune Brands Home & Security,,,,FBHS,FBHS
FCX,Freeport-McMoRan,Materials,Copper,831259.0,FCX,FCX
FDC,First Data,,,,FDC,FDC
FDO,Family Dollar,,,,FDO,FDO
FDS,FactSet,Financials,Financial Exchanges & Data,1013237.0,FDS,FDS
FDX,FedEx,Industrials,Air Freight & Logistics,1048911.0,FDX,FDX
FE,FirstEnergy,Utilities,Electric Utilities,1031296.0,FE,FE
FFIV,"F5, Inc.",Information Technology,Communications Equipment,1048695.0,FFIV,FFIV
FHN,First Horizon,,,,FHN,FHN
FII,Federated Investors,,,,FII,FHI
FIS,FIS,Information Technology,Data Processing & Outsourced Services,1136893.0,FIS,FIS
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,798354.0,FISV,FISV
FITB,Fifth Third Bank,Financials,Regional Banks,35527.0,FITB,FITB
FL,Foot Locker,,,,FL,FL
FLIR,FLIR Systems,,,,FLIR,FLIR
FLR,Fluor Corporation,,,,FLR,FLR
FLS,Flowserve,,,,FLS,FLS
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,1175454.0,FLT,FLT
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,37785.0,FMC,FMC
FNM,Fannie Mae,,,,FNM,FNMA
FOSL,Fossil,,,,FOSL,FOSL
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,1754301.0,FOX,FOX
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,1754301.0,FOXA,FOXA
FRC,First Republic Bank,Financials,Regional Banks,1132979.0,FRC,FRC
FRE,Freddie Mac,,,,FRE,FMCC
FRT,Federal Realty,Real Estate,Retail REITs,34903.0,FRT,FRT
FRX,Forest Laboratories,,,,FRX,BODY
FSLR,First Solar,Information Technology,Semiconductors,1274494.0,FSLR,FSLR
FTI,FMC Technologies,,,,FTI,FTI
FTNT,Fortinet,Information Technology,Systems Software,1262039.0,FTNT,FTNT
FTR,Frontier Communications,,,,FTR,FYBR
FTV,Fortive,Industrials,Industrial Machinery,1659166.0,FTV,FTV
GAS,AGL Resources.,,,,GAS,GAS
GD,General Dynamics,Industrials,Aerospace & Defense,40533.0,GD,GD
GE,General Electric,Industrials,Industrial Conglomerates,40545.0,GE,GE
GEHC,GE HealthCare,Health Care,Health Care Technology,1932393.0,GEHC,GEHC
GEN,Gen Digital,Information Technology,Application Software,849399.0,GEN,GEN
GENZ,Genzyme,,,,GENZ,SNY
GGP,General Growth Properties,,,,GGP,BPYU
GHC,Graham Holdings,,,,GHC,GHC
GILD,Gilead Sciences,Health Care,Biotechnology,882095.0,GILD,GILD
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,40704.0,GIS,GIS
GL,Globe Life,Financials,Life & Health Insurance,320335.0,GL,GL
GLK,Great Lakes Chemical,,,,GLK,GLK
GLW,Corning Inc.,Information Technology,Electronic Components,24741.0,GLW,GLW
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,1467858.0,GM,GM
GMCR,Keurig Green Mountain,,,,GMCR,GMCR
GME,GameStop,,,,GME,GME
GNRC,Generac,Industrials,Electrical Components & Equipment,1474735.0,GNRC,GNRC
GNW,Genworth Financial,,,,GNW,GNW
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044.0,GOOG,GOOG
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044.0,GOOGL,GOOGL
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,40987.0,GPC,GPC
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,1123360.0,GPN,GPN
GPS,Gap Inc.,,,,GPS,GPS
GR,Goodrich Corporation,,,,GR,GR
GRA,WR Grace,,,,GRA,GRA
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,1121788.0,GRMN,GRMN
GRN,General Re,,,,GRN,GRN
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,886982.0,GS,GS
GT,The Goodyear Tire & Rubber Company,,,,GT,GT
GWW,W. W. Grainger,Industrials,Industrial Machinery,277135.0,GWW,GWW
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,45012.0,HAL,HAL
HAR,Harman International,,,,HAR,HAR
HAS,Hasbro,Consumer Discretionary,Leisure Products,46080.0,HAS,HAS
HBAN,Huntington Bancshares,Financials,Regional Banks,49196.0,HBAN,HBAN
HBI,Hanesbrands,,,,HBI,HBI
HCA,HCA Healthcare,Health Care,Health Care Facilities,860730.0,HCA,HCA
HCBK,Hudson City Bancorp,,,,HCBK,HCBK
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,354950.0,HD,HD
HES,Hess Corporation,Energy,Integrated Oil & Gas,4447.0,HES,HES
HFC,HollyFrontier,,,,HFC,HFC
HIG,Hartford (The),Financials,Property & Casualty Insurance,874766.0,HIG,HIG
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1501585.0,HII,HII
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1585689.0,HLT,HLT
HNZ,Heinz,,,,HNZ,HNZ
HOG,Harley-Davidson,,,,HOG,HOG
HOLX,Hologic,Health Care,Health Care Equipment,859737.0,HOLX,HOLX
HON,Honeywell,Industrials,Industrial Conglomerates,773840.0,HON,HON
HOT,Starwood,,,,HOT,HOT
HP,Helmerich & Payne,,,,HP,HP
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1645590.0,HPE,HPE
HPH,Harnischfeger Industries,,,,HPH,HPH
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",47217.0,HPQ,HPQ
HRB,H&R Block,,,,HRB,HRB
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,48465.0,HRL,HRL
HSIC,Henry Schein,Health Care,Health Care Distributors,1000228.0,HSIC,HSIC
HSP,Hospira,,,,HSP,HSP
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,1070750.0,HST,HST
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,47111.0,HSY,HSY
HUM,Humana,Health Care,Managed Health Care,49071.0,HUM,HUM
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,4281.0,HWM,HWM
IBM,IBM,Information Technology,IT Consulting & Other Services,51143.0,IBM,IBM
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1571949.0,ICE,ICE
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,874716.0,IDXX,IDXX
IEX,IDEX Corporation,Industrials,Industrial Machinery,832101.0,IEX,IEX
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,51253.0,IFF,IFF
IGT,International Game Technology,,,,IGT,IGT
ILMN,Illumina,Health Care,Life Sciences Tools & Services,1110803.0,ILMN,ILMN
INCY,Incyte,Health Care,Biotechnology,879169.0,INCY,INCY
INFO,IHS Markit,,,,INFO,INFO
INTC,Intel,Information Technology,Semiconductors,50863.0,INTC,INTC
INTU,Intuit,Information Technology,Application Software,896878.0,INTU,INTU
INVH,Invitation Homes,Real Estate,Residential REITs,1687229.0,INVH,INVH
IP,International Paper,Materials,Paper Packaging,51434.0,IP,IP
IPG,The Interpublic Group of Companies,Communication Services,Advertising,51644.0,IPG,IPG
IPGP,IPG Photonics,,,,IPGP,IPGP
IQV,IQVIA,Health Care,Life Sciences Tools & Services,1478242.0,IQV,IQV
IR,Ingersoll Rand,Industrials,Industrial Machinery,1699150.0,IR,IR
IRM,Iron Mountain,Real Estate,Specialized REITs,1020569.0,IRM,IRM
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,1035267.0,ISRG,ISRG
IT,Gartner,Information Technology,IT Consulting & Other Services,749251.0,IT,IT
ITT,ITT,,,,ITT,ITT
ITW,Illinois Tool Works,Industrials,Industrial Machinery,49826.0,ITW,ITW
IVZ,Invesco,Financials,Asset Management & Custody Banks,914208.0,IVZ,IVZ
J,Jacobs Solutions,Industrials,Construction & Engineering,52988.0,J,J
JBHT,J.B. Hunt,Industrials,Trucking,728535.0,JBHT,JBHT
JBL,Jabil Circuit,,,,JBL,JBL
JCI,Johnson Controls,Industrials,Building Products,833444.0,JCI,JCI
JCP,JCPenney,,,,JCP,CPPRQ
JDSU,JDS Uniphase,,,,JDSU,VIAV
JEF,Jefferies Financial Group,,,,JEF,JEF
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,779152.0,JKHY,JKHY
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,200406.0,JNJ,JNJ
JNPR,Juniper Networks,Information Technology,Communications Equipment,1043604.0,JNPR,JNPR
JNS,Janus Capital Group,,,,JNS,JNS
JNY,Jones Apparel Group,,,,JNY,JNY
JOY,Joy Global,,,,JOY,JOY
JPM,JPMorgan Chase,Financials,Diversified Banks,19617.0,JPM,JPM
JWN,Nordstrom,,,,JWN,JWN
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,55067.0,K,K
KBH,KB Home,,,,KBH,KBH
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,1418135.0,KDP,KDP
KEY,KeyCorp,Financials,Regional Banks,91576.0,KEY,KEY
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,1601046.0,KEYS,KEYS
